concept	property	cluster_label
pairs	identifying	0
vault	biometric	0
vault	password	0
pairs	identification	0
vault	biometric scan	0
walk	umbrella	1
walk	umbrella	1
balance beam	apron	1
walk	hat	1
air rifle	high	2
air pistol	high	2
rapid fire pistol	long	2
air pistol	highly accurate	2
air rifle	high-powered	2
rapid fire pistol	high	2
air rifle	highly accurate	2
rapid fire pistol	low	2
air pistol	long-range	2
air rifle	long	2
skeet	shooting accuracy	2
air rifle	accurate	2
air pistol	short	2
air rifle	short	2
rapid fire pistol	short	2
air rifle	low	2
women's team	participant	3
medal winners	historic win	3
medal winners	most improved	3
medal winners	highest jump	3
women's team	champion	3
medal winners	winning a gold medal	3
medal winners	repeat champion	3
race	title	3
race	receives recognition	3
medal winners	first-time winner	3
women's team	runner-up	3
athlete	being a role model	3
track and field	personal best	4
all-rounder	record-breaking	4
all-rounder	record-breaking performances	4
medal winners	most goals scored	4
pole vault	fastest time	4
medal winners	record holder	4
super g	fastest time	4
medal winners	fastest time	4
medal winners	fastest time	4
medal winners	personal best	4
medal winners	record-breaking	4
all-round	awards	5
all-rounder	awards	5
all-rounder	records	5
synchronized platform	performance	5
all-round	success	5
all-rounder	success in multiple fields	5
athlete	award	5
medal winners	most points	5
men's team	winning championships	5
medal winners	first place	5
athlete	record	5
medal winners	highest score	5
athlete	title	5
medal winners	second place	5
medal winners	third place	5
gymnastics team competition	best overall performance	5
athlete	getting medals	5
medal winners	most goals	5
all-rounder	multiple awards	5
all-rounder	team success	5
synchronized springboard	team performance	5
athlete	winning competitions	5
all-rounder	championships	5
medal winners	best performance	5
medal winners	highest score	5
medal winners	best performance	5
medal winners	team victory	5
medal winners	champions	6
women's team	championship-winning	6
all-rounder	century scorer	6
all-rounder	adored by fans	6
all-rounder	try scorer	6
long jump	mike powell	6
all-rounder	grand slam winner	6
all-rounder	hat-trick taker	6
biathlon	tracking	7
biathlon	pursuit	7
pursuit	chasing	7
trap	patrol	7
pursuit	chasing	7
pursuit	pursuing	7
pursuit	chasing something	7
biathlon	pursuit	7
pursuit	going after	7
pursuit	act of chasing	7
pursuit	chasing after	7
biathlon	pursuit	7
aquatics	boating	8
keelboat	cruising	8
dinghy	sailing	8
skiff	sailing	8
keelboat	sailing	8
summer games	sailing	8
heavyweight dinghy	sailing	8
skiff	cruising	8
dinghy	rowing	8
downhill	exploring	9
diving	exploring	9
diving	exploration	9
diving	exploration	9
diving	exploration	9
walk	exploration	9
diving	observing marine life	9
dinghy	recreational	10
keelboat	recreational	10
cycling track	recreational	10
skating	recreational	10
trampoline	recreational	10
springboard	recreational	10
heavyweight dinghy	recreational	10
dinghy	recreational	10
air rifle	recreational	10
cycling track	recreational	10
synchronized swimming	free solo	10
downhill	adventure	10
mixed team	recreational	10
springboard	recreational	10
keelboat	recreational	10
cycling road	recreational	10
skiff	recreational	10
participates in	recreational	10
cycling	indoor	10
air rifle	recreational	10
archery	recreational	10
windsurfer	recreational activity	10
figure skating	recreational activity	10
skating	recreational activity	10
skeet	recreational activity	10
men's team	playing	10
trampoline	playing	10
swimmer	recreational	10
air rifle	recreational	10
cycling	recreational	10
downhill	thrilling	10
skiing	recreational activity	10
sailing	recreational activity	10
figure skating	recreational activity	10
archery	recreational activity	10
volleyball	recreational activity	10
skiff	recreational	10
skating	recreational	10
cross country skiing	recreational	10
diving	competitive	10
summer sport	yes	10
winter sport	family activity	10
women's team	recreational	10
winter sport	social event	10
aquatics	recreational use	10
summer sport	no	10
alpine skiing	recreational activity	10
diving	recreational	10
athletics	recreational	10
sailing	recreational activity	10
air pistol	recreational	10
sailing	recreational activity	10
skiing	recreational activity	10
participates in	for fun	10
women's team	for fun	10
race	for fun	10
summer sport	recreational fun	10
mixed team	recreational activity	10
fencing	recreational activity	10
skiing	recreational	10
archery	recreational activity	10
swimmer	recreational	10
marathon	recreational	10
race	recreational	10
cycling	indoor	10
keelboat	recreational	10
long jump	recreational	10
aquatics	recreational	10
participates in	physical	10
cycling track	sport	10
cycling	sport	10
sailing	sport	10
pursuit	activity undertaken for pleasure	10
downhill	recreational	10
walk	recreational	10
sailing	recreational	10
diving	recreational	10
skating	recreational	10
cycling	recreational	10
archery	recreational	10
cycling	recreational	10
trampoline	recreational	10
walk	physical	10
skiing	physical	10
summer sport	recreational activity	10
team event	recreational	10
sailing	recreational	10
snowboard	recreational	10
air pistol	recreational	10
wrestling	recreational	10
artistic gymnastics	recreational	10
diving	recreational	10
diving	recreational activity	10
pursuit	recreational	10
women's team	recreational	10
keelboat	leisure	11
cycling	recreation	11
sailing	relaxing	11
