concept	facet	property	facet_property	cluster_label
khat	uses	recreational	uses: recreational	10
controlled substance	purpose	recreational	purpose: recreational	10
controlled substance	usage	recreational	usage: recreational	10
khat	usage	recreational	usage: recreational	10
turkey	physical characteristics	wings	physical characteristics: wings	20
beverage product	purpose	relaxation	purpose: relaxation	33
forest product	benefits	environmental	benefits: environmental	45
organic object	environmental impact	eco-friendly	environmental impact: eco-friendly	45
petroleum lubricant	environmental impact	eco-friendly	environmental impact: eco-friendly	45
cooking range	type	hybrid	type: hybrid	46
motor oil	type	hybrid	type: hybrid	46
ornamental fish	type	aquatic	type: aquatic	52
food egg	category	breakfast food	category: breakfast food	56
passion fruit	used for	dessert	used for: dessert	56
compound substance	characteristics	stable	characteristics: stable	61
compound substance	characteristics	unstable	characteristics: unstable	61
agricultural product	characteristics	versatile	characteristics: versatile	64
industry	characteristics	competitive	characteristics: competitive	65
economic sector	characteristics	competitive	characteristics: competitive	65
cotton fiber	characteristics	lightweight	characteristics: lightweight	66
jute fiber	characteristics	durable	characteristics: durable	66
wool fiber	characteristics	durable	characteristics: durable	66
natural rubber	characteristics	durable	characteristics: durable	66
motor oil	characteristics	durable	characteristics: durable	66
manufactured product	characteristics	durable	characteristics: durable	66
semiprecious gemstone	characteristics	durable	characteristics: durable	66
cotton fiber	characteristics	durable	characteristics: durable	66
balsa wood	type	lightweight	type: lightweight	66
animal skin	characteristics	durable	characteristics: durable	66
capital good	characteristics	durable	characteristics: durable	66
cut flower	appearance	delicate	appearance: delicate	68
flowering plant	appearance	delicate	appearance: delicate	68
motor oil	characteristics	smooth	characteristics: smooth	70
handicraft product	characteristics	unique	characteristics: unique	74
organic object	characteristics	unique	characteristics: unique	74
lead product	characteristics	unique	characteristics: unique	74
relational attribute	characteristics	unique	characteristics: unique	74
relational attribute	type	unique	type: unique	74
electric device	shape	flat	shape: flat	76
metal product	shape	flat	shape: flat	76
tea leaf	shape	flat	shape: flat	76
fruit or vegetable	appearance	colorful	appearance: colorful	81
precious gemstone	appearance	colorful	appearance: colorful	81
textile product	color	monochromatic	color: monochromatic	81
ornamental fish	color	colorful	color: colorful	81
flowering plant	appearance	colorful	appearance: colorful	81
textile product	appearance	colorful	appearance: colorful	81
ornamental fish	appearance	colorful	appearance: colorful	81
cut flower	appearance	colorful	appearance: colorful	81
semiprecious gemstone	appearance	colorful	appearance: colorful	81
grocery produce	appearance	colorful	appearance: colorful	81
change of possession	common in	everyday life	common in: everyday life	83
manufactured product	purpose	communication	purpose: communication	88
manufactured product	function	communication	function: communication	88
electric device	used for	communication	used for: communication	88
electric device	purpose	communication	purpose: communication	88
alumina	applications	water treatment	applications: water treatment	106
durable good	maintenance	low maintenance	maintenance: low maintenance	114
water buffalo	conservation status	endangered	conservation status: endangered	116
currency	country	usa	country: usa	117
euro	countries	germany	countries: germany	117
