property	cluster_label
cannot be shared	22
cannot be seen	22
cannot be touched	22
cannot be moved	22
cannot be broken	22
invisible to human sight	22
not visible to naked eye	22
hidden from view	22
cannot be copied	22
not throwing something away	21
retaining something	21
holding onto something	21
not giving something away	21
not losing something	21
responsible for parking	20
located in parking lots	20
used for parks	20
have parking spots	20
used for parking	20
have floors	19
attached to ceiling	19
have ceilings	19
have walls	19
have roofs	19
longest in China	18
found in africa	18
found in india	18
found in china	18
found in united states	18
found in russia	18
crewed by professionals	17
have crews	17
has captain	17
has crew	17
had crews	17
had captains	17
have crew	17
used in medicine	16
used for medicine	16
used in medicines	16
used for pharmaceuticals	16
used for measurement	15
includes weights	15
have measurements	15
measures space	15
used in calculating weights	15
unit of measurement	15
measures width	15
unit of volume	15
unit of weight	15
used for measuring	15
units of grams	15
units of kilograms	15
precise measurements	15
used in measurements	15
have security cameras	14
have security checks	14
used for security checks	14
used for reconnaissance	14
involves monitoring	14
have security measures	14
has security	14
used for surveillance	14
involves goals	13
purposive	13
directed	13
goal-oriented	13
goal-directed	13
used in physics	12
have laboratories	12
used in chemistry	12
used for chemicals	12
used for science	12
have scientists	12
used in science	12
used in labs	12
used for research	12
used for scientific research	12
measured in milliliters	11
measured in millimeters	11
measured in cubic feet	11
measured in cubic meters	11
measured in gallons	11
measured in liters	11
has meters	11
equals 28.32 liters	11
measured in square meters	11
measured in acres	11
measured in square kilometers	11
measured in hectares	11
used in grouping	10
used for categorization	10
used for grouping	10
used in sorting	10
used for organization	10
have entertainment	9
used for recreational purposes	9
used for entertainment	9
has entertainment systems	9
used for recreation	9
has no propellers	8
has no opposite lane	8
has no sides	8
has no median	8
has no divider	8
has no opposite traffic	8
amount of money	7
receives commissions	7
receive payment	7
contains payment details	7
have payment systems	7
used for studying weather	6
used for weather	6
adjusts according to weather	6
used for studying climate	6
has weather patterns	6
exposed to weather	6
subject to weather conditions	6
has atmospheric phenomena	6
used for weather reports	6
used for weather forecasting	6
has seasons	6
used in weather forecasting	6
not protected from elements	6
used for ergonomics testing	5
used for crash testing	5
used for durability testing	5
used for aerodynamics testing	5
used for safety testing	5
used for testing	5
responsible for public safety	5
used for aerodynamics	5
