property 	 cluster_label
first class 	 101
second class 	 101
third class 	 101
commuting 	 100
commuter rail 	 100
commuter 	 100
regulates earth's climate 	 99
regulates ecosystem 	 99
regulates 	 99
one-to-one 	 98
one-to-many 	 98
many-to-many 	 98
monitored 	 97
monitored by 	 97
managed by 	 97
above ground 	 96
around earth 	 96
above earth 	 96
stratosphere 	 95
troposphere 	 95
mesosphere 	 95
thermosphere 	 95
turbine 	 94
turboprop engine 	 94
turbofan 	 94
fishing 	 93
fishing gear 	 93
fishing net 	 93
fishing line 	 93
navigable waterway 	 92
narrow waterway 	 92
narrow and winding 	 92
storage space 	 91
deck space 	 91
cargo space 	 91
luggage space 	 91
exploring 	 90
exploratory 	 90
exploration 	 90
24/7 service 	 89
24/7 operations 	 89
24/7 	 89
multiple lanes 	 88
multiple gates 	 88
single lane 	 88
schedules 	 87
scheduling flights 	 87
scheduling 	 87
millimeters 	 86
millisecond 	 86
millisecond range 	 86
economic losses 	 85
economic hardship 	 85
economic loss 	 85
diplomatic 	 84
diplomatic tensions 	 84
diplomatic leverage 	 84
diplomatic tension 	 84
unidirectional 	 83
bidirectional 	 83
unilateral 	 83
one-way 	 82
two-way 	 82
one-time 	 82
pulley 	 81
cable and pulley 	 81
pulley wheel 	 81
expansion 	 80
explosive 	 80
explosion 	 80
driving 	 79
drinks 	 79
drinking water 	 79
drinking 	 79
draining water 	 79
continuous operation 	 78
manual operation 	 78
manual control 	 78
suspension 	 77
points on license 	 77
suspension of license 	 77
pulsed 	 76
pumps 	 76
pumped 	 76
paved 	 76
reliable 	 75
unreliable 	 75
recurring 	 75
data transfer 	 74
information transfer 	 74
data link 	 74
commercial airliners 	 73
regional airliner 	 73
regional flights 	 73
commercial airliner 	 73
electricity 	 72
power plant 	 72
electric power 	 72
electric motor 	 72
electric vehicles 	 72
pulling passenger train 	 71
last car in a train 	 71
rear of the train 	 71
at the front of the train 	 71
to control the train 	 71
asia 	 70
china 	 70
iran 	 70
on-demand 	 69
on-demand service 	 69
real-time scheduling 	 69
on-demand scheduling 	 69
high risk 	 68
medium risk 	 68
low risk 	 68
powerful engine 	 67
stronger brakes 	 67
more powerful engine 	 67
strong engine 	 67
airport authorities 	 66
port authority 	 66
local authorities 	 66
food and beverage 	 65
food and beverage service 	 65
food and drink 	 65
food and drinks 	 65
security personnel 	 64
security screening 	 64
id checks 	 64
security concerns 	 64
security check 	 64
security checks 	 64
regulations 	 63
legislation 	 63
regulation 	 63
parking lot 	 62
parking 	 62
parking space 	 62
parking cars 	 62
parking spots 	 62
customs 	 61
customs officials 	 61
customs checks 	 61
customs duties 	 61
different in different countries 	 60
used in many countries 	 60
still used in many countries 	 60
proof of insurance 	 59
proof of ownership 	 59
document of title 	 59
proof of delivery 	 59
specialized for deep sea 	 58
studying ocean life 	 58
exploring deep sea 	 58
protecting marine life 	 58
generates electricity 	 57
generates thrust 	 57
generates torque 	 57
developed in 19th century 	 56
19th century 	 56
improved in 20th century 	 56
developed in 1930s 	 56
improved in 1950s 	 56
first used in 1913 	 56
water bottle 	 55
water tank 	 55
water chamber 	 55
hybrid 	 54
fueling systems 	 54
cooling system 	 54
hydraulic 	 54
braking system 	 54
hydraulic system 	 54
information board 	 53
information kiosk 	 53
information desk 	 53
waterfront 	 52
waterways 	 52
waterway 	 52
fairway 	 52
long-range 	 51
long distance 	 51
short-range 	 51
short-term 	 51
long-term 	 51
short term 	 51
long term 	 51
covered in steel 	 50
steel or concrete 	 50
built from steel 	 50
built from concrete 	 50
built from wood 	 50
off-road 	 49
off-road vehicle 	 49
off-road driving 	 49
regularly cleaned 	 48
regular inspection 	 48
regular inspections 	 48
regular maintenance 	 48
regularly maintained 	 48
regularly checked 	 48
emptied and cleaned 	 48
near ocean 	 47
over a river 	 47
over a valley 	 47
over a highway 	 47
near bus stop 	 47
near river 	 47
side of highway 	 47
near city 	 47
near highway 	 47
railing 	 46
rural areas 	 46
ramp 	 46
rash 	 46
rural area 	 46
rural 	 46
rural road 	 46
ramps 	 46
rugged 	 46
road signs 	 45
stop signs 	 45
yield signs 	 45
stop sign 	 45
traffic lights 	 44
traffic signal 	 44
traffic light 	 44
varies by vehicle 	 43
varies by type 	 43
varies by country 	 43
provides traction 	 42
provides barrier 	 42
provides light 	 42
provides seating 	 42
provides nutrients 	 42
road trips 	 41
road trip 	 41
family road trip 	 41
unordered 	 40
ascending 	 40
